address,chain,contract,tags_id,tags_label,tags_rank,tags_excludeEntities,tags_tagParams,arkhamLabel_name,arkhamLabel_chainType,name,note,id,type,service,addresses,website,twitter,crunchbase,linkedin
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,manta,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,mantle,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,optimism,True,,,,,,router proxy,evm,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,polygon,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,sonic,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,arbitrum_one,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,avalanche,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,base,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,blast,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,bsc,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,ethereum,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,flare,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,linea,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,manta,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,mantle,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,optimism,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,polygon,False,,,,,,,,,,,,,,,,,
0x0f3f23c1138872114e8ae3ecaac4c963c9a5c10a,sonic,False,,,,,,,,,,,,,,,,,
0x64768a3a2453f1e8de9e43e92d65fc36e4c9872d,arbitrum_one,True,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0x64768a3a2453f1e8de9e43e92d65fc36e4c9872d,avalanche,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
